Date,Time,CP.RM103,GT_CP.RM103,CP.RM105,GT_CP.RM105,CP.RM106,GT_CP.RM106,CP.RM108,GT_CP.RM108,CP.RM109,GT_CP.RM109
5/2/2016,0:00:00,389.02,2,423.43,3,436.33,3,401.92,3,409.81,3
5/3/2016,0:00:00,356.04,2,401.2,3,363.92,2,390.45,2,388.3,2
5/4/2016,0:00:00,358.19,2,373.24,2,361.06,2,381.85,2,384.71,2
5/5/2016,0:00:00,355.32,2,374.68,2,376.83,2,391.17,2,389.73,2
5/6/2016,0:00:00,358.9,2,380.41,2,381.13,2,389.02,2,393.32,2
5/7/2016,0:00:00,393.32,2,439.92,3,482.94,3,419.13,3,437.05,3
5/8/2016,0:00:00,372.53,2,407.66,3,437.77,3,409.09,3,401.2,3
5/9/2016,0:00:00,348.87,2,366.07,2,399.77,2,389.02,2,376.11,2
5/10/2016,0:00:00,363.21,2,386.87,2,370.38,2,396.9,2,396.19,2
5/11/2016,0:00:00,378.98,2,400.49,3,403.36,3,411.96,3,412.68,3
5/12/2016,0:00:00,370.38,2,400.49,3,375.39,2,389.02,2,392.6,2
5/13/2016,0:00:00,362.49,2,376.83,2,373.96,2,384.71,2,389.73,2
5/14/2016,0:00:00,364.64,2,389.02,2,432.75,3,398.34,2,406.22,3
5/15/2016,0:00:00,381.85,2,401.92,3,441.35,3,436.33,3,423.43,3
5/16/2016,0:00:00,387.58,2,408.37,3,444.94,3,429.17,3,422,3
5/17/2016,0:00:00,366.79,2,383.28,2,370.38,2,389.73,2,396.9,2
5/18/2016,0:00:00,363.21,2,378.98,2,368.22,2,383.28,2,391.17,2
5/19/2016,0:00:00,363.21,2,378.98,2,373.96,2,386.87,2,394.03,2
5/20/2016,0:00:00,356.75,2,369.66,2,360.34,2,381.85,2,388.3,2
5/21/2016,0:00:00,374.68,2,388.3,2,401.2,3,397.62,2,401.2,3
5/22/2016,0:00:00,370.38,2,390.45,2,403.36,3,404.07,3,402.64,3
5/23/2016,0:00:00,365.36,2,388.3,2,401.92,3,401.92,3,398.34,2
5/2/2016,0:05:00,388.3,2,421.28,3,436.33,3,399.77,2,409.09,3
5/3/2016,0:05:00,357.47,2,404.79,3,362.49,2,389.73,2,387.58,2
5/4/2016,0:05:00,358.9,2,374.68,2,362.49,2,382.56,2,385.43,2
5/5/2016,0:05:00,357.47,2,373.96,2,377.55,2,392.6,2,389.73,2
5/6/2016,0:05:00,358.9,2,381.13,2,380.41,2,389.02,2,394.03,2
5/7/2016,0:05:00,391.88,2,439.2,3,480.07,3,418.41,3,434.18,3
5/8/2016,0:05:00,371.09,2,404.07,3,435.62,3,407.66,3,399.05,2
5/9/2016,0:05:00,348.87,2,365.36,2,396.9,2,389.73,2,376.11,2
5/10/2016,0:05:00,363.92,2,386.15,2,371.81,2,396.9,2,396.9,2
5/11/2016,0:05:00,378.26,2,399.05,2,403.36,3,411.96,3,411.24,3
5/12/2016,0:05:00,371.09,2,399.77,2,376.83,2,391.17,2,394.03,2
5/13/2016,0:05:00,361.06,2,376.11,2,374.68,2,384,2,390.45,2
5/14/2016,0:05:00,363.92,2,389.02,2,430.6,3,399.05,2,406.94,3
5/15/2016,0:05:00,382.56,2,401.2,3,441.35,3,437.05,3,421.28,3
5/16/2016,0:05:00,387.58,2,408.37,3,442.07,3,427.01,3,424.15,3
5/17/2016,0:05:00,365.36,2,382.56,2,368.94,2,388.3,2,398.34,2
5/18/2016,0:05:00,362.49,2,378.26,2,369.66,2,384,2,391.17,2
5/19/2016,0:05:00,362.49,2,379.7,2,372.53,2,386.87,2,394.03,2
5/20/2016,0:05:00,356.04,2,370.38,2,358.9,2,380.41,2,388.3,2
